City,Country,Lat,Lon,Date,Max Temp (cs),Humidity,Cloudiness,Wind Speed (mph)
Lompoc,US,34.6391,-120.4579,1622659620,30.38,77,40,0.89
Tasiilaq,GL,65.6145,-37.6368,1622659761,5.09,82,30,2.66
Xucheng,CN,20.35,110.1288,1622659761,27.39,88,94,4.67
Kaitangata,NZ,-46.2817,169.8464,1622659762,5.85,90,13,3.03
Jumla,NP,29.2747,82.1838,1622659762,12.6,84,27,1.48
Nikolskoye,RU,59.7035,30.7861,1622659762,16.94,75,35,2.41
Longyearbyen,SJ,78.2186,15.6401,1622659763,6.91,65,75,12.35
Kavieng,PG,-2.5744,150.7967,1622659763,27.01,79,100,2.66
Saint-Philippe,RE,-21.3585,55.7679,1622659613,23.77,84,97,6.94
Cherskiy,RU,68.75,161.3,1622659763,11.71,38,36,3.63
Arraial do Cabo,BR,-22.9661,-42.0278,1622659764,26.98,73,0,4.63
Pevek,RU,69.7008,170.3133,1622659764,0.25,73,19,0.98
Anito,PH,12.4497,125.2886,1622659764,24.77,89,100,1.96
Kolokani,ML,13.5728,-8.0339,1622659765,37.02,19,100,2.33
Norman Wells,CA,65.282,-126.8329,1622659765,8.02,71,75,4.12
Aklavik,CA,68.2191,-135.0107,1622659673,1.46,86,90,2.57
Airai,TL,-8.9266,125.4092,1622659765,13.04,89,42,1.27
Deer Lake,CA,49.1667,-57.4316,1622659766,21.92,46,40,6.69
Zamość,PL,50.7231,23.252,1622659766,13.91,74,100,2.05
Bengkulu,ID,-3.8004,102.2655,1622659766,25.06,86,94,1.93
Albany,US,42.6001,-73.9662,1622659483,26.05,53,100,2.19
Dikson,RU,73.5069,80.5464,1622659583,-5.13,93,31,2.45
Ushuaia,AR,-54.8,-68.3,1622659512,1.79,95,26,0.74
Mtinko,TZ,-4.55,34.85,1622659767,17.43,55,50,3.13
Graaff-Reinet,ZA,-32.2522,24.5308,1622659767,8.84,72,2,1.09
Pangnirtung,CA,66.1451,-65.7125,1622659469,1.0,93,90,4.63
Mar del Plata,AR,-38.0023,-57.5575,1622659768,13.94,50,40,1.34
Hamilton,US,39.1834,-84.5333,1622659738,19.56,95,90,0.45
East London,ZA,-33.0153,27.9116,1622659571,16.52,82,0,6.69
Prado,BR,-17.3411,-39.2208,1622659768,25.56,70,16,3.68
Hobart,AU,-42.8794,147.3294,1622659582,11.26,77,40,0.45
Nome,US,64.5011,-165.4064,1622659769,6.2,52,90,3.6
Punta Arenas,CL,-53.15,-70.9167,1622659543,2.01,69,0,2.12
Port Elizabeth,ZA,-33.918,25.5701,1622659738,16.16,77,20,7.72
Covington,US,39.0837,-84.5086,1622659758,19.75,94,90,2.06
Torbay,CA,47.6666,-52.7314,1622659769,22.16,60,20,11.32
Rikitea,PF,-23.1203,-134.9692,1622659770,22.42,60,100,7.97
